Agent_Breed,Policy_ID,Age,Social_Grade,Payment_at_Purchase,Attribute_Brand,Attribute_Price,Attribute_Promotions,Auto_Renew,Inertia_for_Switch
Breed_C,132802005.0,81,3,250,25.3,16.6,5.1,0,5
Breed_C,132802006.0,81,3,250,25.3,16.6,5.1,0,7
Breed_C,132802008.0,81,3,250,25.3,16.6,5.1,0,7
Breed_C,132802009.0,81,3,250,25.3,16.6,5.1,0,1
Breed_C,132802015.0,81,3,250,25.3,16.6,5.1,0,9
Breed_C,132802017.0,81,3,250,25.3,16.6,5.1,0,2
Breed_C,132802018.0,81,3,250,25.3,16.6,5.1,0,5
Breed_C,24910601003.0,83,3,375,26.2,21.1,6.7,0,9
Breed_C,24910601004.0,83,3,375,26.2,21.1,6.7,0,3
Breed_C,24910601005.0,83,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601007.0,83,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601008.0,83,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601009.0,83,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601010.0,83,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601011.0,83,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601013.0,83,3,375,26.2,21.1,6.7,0,8
Breed_C,24910601016.0,83,3,375,26.2,21.1,6.7,0,5
Breed_C,24910601017.0,83,3,375,26.2,21.1,6.7,0,7
Breed_C,24910601018.0,83,3,375,26.2,21.1,6.7,0,1
Breed_C,101472002.0,71,4,250,22.7,14.1,3.9,0,1
Breed_C,101472004.0,71,4,250,22.7,14.1,3.9,0,6
Breed_C,101472005.0,71,4,250,22.7,14.1,3.9,0,5
Breed_C,101472009.0,71,4,250,22.7,14.1,3.9,0,6
Breed_C,101472010.0,71,4,250,22.7,14.1,3.9,0,2
Breed_C,101472011.0,71,4,250,22.7,14.1,3.9,0,7
Breed_C,101472012.0,71,4,250,22.7,14.1,3.9,0,8
Breed_C,101472015.0,71,4,250,22.7,14.1,3.9,0,9
Breed_C,101472017.0,71,4,250,22.7,14.1,3.9,0,5
Breed_C,135916002.0,84,4,250,11.9,43.8,4.6,0,1
Breed_C,135916006.0,84,4,250,11.9,43.8,4.6,0,4
Breed_C,135916008.0,84,4,250,11.9,43.8,4.6,0,7
Breed_C,135916009.0,84,4,250,11.9,43.8,4.6,0,7
Breed_C,135916011.0,84,4,250,11.9,43.8,4.6,0,3
Breed_C,135916012.0,84,4,250,11.9,43.8,4.6,0,9
Breed_C,135916013.0,84,4,250,11.9,43.8,4.6,0,6
Breed_C,135916014.0,84,4,250,11.9,43.8,4.6,0,4
Breed_C,135916015.0,84,4,250,11.9,43.8,4.6,0,5
Breed_C,26061188002.0,84,2,150,5.3,74.8,1.8,0,7
Breed_C,26061188003.0,84,2,150,5.3,74.8,1.8,0,7
Breed_C,26061188007.0,84,2,150,5.3,74.8,1.8,0,8
Breed_C,26061188011.0,84,2,150,5.3,74.8,1.8,0,2
Breed_C,26061188012.0,84,2,150,5.3,74.8,1.8,0,9
Breed_C,26061188015.0,84,2,150,5.3,74.8,1.8,0,6
Breed_C,26061188016.0,84,2,150,5.3,74.8,1.8,0,9
Breed_C,131004002.0,70,2,250,18.9,10.4,1.9,0,5
Breed_C,131004003.0,70,2,250,18.9,10.4,1.9,0,7
Breed_C,131004005.0,70,2,250,18.9,10.4,1.9,0,6
Breed_C,131004008.0,70,2,250,18.9,10.4,1.9,0,8
Breed_C,131004015.0,70,2,250,18.9,10.4,1.9,0,5
Breed_C,131004016.0,70,2,250,18.9,10.4,1.9,0,8
Breed_C,131004017.0,70,2,250,18.9,10.4,1.9,0,2
Breed_C,131004018.0,70,2,250,18.9,10.4,1.9,0,1
Breed_C,135861001.0,84,3,150,9.4,81.2,1.9,0,5
Breed_C,135861002.0,84,3,150,9.4,81.2,1.9,0,8
Breed_C,135861003.0,84,3,150,9.4,81.2,1.9,0,6
Breed_C,135861007.0,84,3,150,9.4,81.2,1.9,0,5
Breed_C,135861008.0,84,3,150,9.4,81.2,1.9,0,2
Breed_C,135861009.0,84,3,150,9.4,81.2,1.9,0,6
Breed_C,135861010.0,84,3,150,9.4,81.2,1.9,0,1
Breed_C,135861014.0,84,3,150,9.4,81.2,1.9,0,3
Breed_C,135861015.0,84,3,150,9.4,81.2,1.9,0,4
Breed_C,135861016.0,84,3,150,9.4,81.2,1.9,0,6
Breed_C,135861018.0,84,3,150,9.4,81.2,1.9,0,9
